id_producto,titulo_producto,categoria_producto,precio_producto
1,3D GLASS,ELECTRONIC ACCESSORIES,178
2,3D PEN,COMPUTER ACCESSORIES & PERIPHERALS,555
3,3D PRINTER,PRINTERS,6031
4,3D PRINTER FILAMENT,COMPUTER ACCESSORIES & PERIPHERALS,427
5,3D PRINTER HEATBED,COMPUTER ACCESSORIES & PERIPHERALS,734
6,3D PRINTER HOTEND,COMPUTER ACCESSORIES & PERIPHERALS,285
7,3D PRINTER NOZZLE,COMPUTER ACCESSORIES & PERIPHERALS,167
8,3D PRINTER STL FILE,COMPUTER ACCESSORIES & PERIPHERALS,227
9,3D PRINTER THERMISTOR,COMPUTER ACCESSORIES & PERIPHERALS,116
10,AB ROLLER WHEEL,INDOOR SPORTS,312
11,ABRASIVE SAW,TOOLS,2830
12,ABS SENSOR,REPLACEMENT AUTOPARTS,1031
13,ABSORBENT SWEAT PAD,PERFUMERY HYGIENE,169
14,AC COMPRESSOR CLUTCH COIL,REPLACEMENT AUTOPARTS,1016
15,ACCESS TURNSTILE,INDUSTRY EQUIPMENT,8603
16,ACCORDION,MUSICAL INSTRUMENTS,2330
17,ACCORDION CASES AND BAG,MUSICAL INSTRUMENTS,873
18,ACCORDION STRAP,MUSICAL INSTRUMENTS,656
19,ACOUSTIC GUITAR,MUSICAL INSTRUMENTS,2082
20,ACOUSTIC PANEL,INDUSTRY EQUIPMENT,490
21,ACTION FIGURE,TOYS & ACTION FIGURES,569
22,ACUPRESSURE WRISTBAND,PHARMACEUTICS,313
23,ACUPUNCTURE NEEDLE,PHARMACEUTICS,368
24,ADHESIVE TAPE,OFFICE & SCHOOL SUPPLIES,197
25,ADULT DIAPER,PERFUMERY HYGIENE,215
26,ADULT MANUAL TRICYCLE,CYCLING AND OTHERS,5764
27,ADVERTISING INFLATABLE,INDUSTRY EQUIPMENT,1023
28,AEROBIC CRUNCH MACHINE,INDOOR SPORTS,1815
29,AEROBICS AND FITNESS EQUIPMENT,INDOOR SPORTS,462
30,AFTER SUN,PERFUMERY HYGIENE,212
31,AGOGO,MUSICAL INSTRUMENTS,380
32,AIR COMPRESSOR,TOOLS,1961
